nb,nu,nd,ns,ne,nm,μu,μd,μe,P,e
0.0037921050079999996,0.0037920949745030284,0.0040112539660722675,0.003572939566929792,8.665429451309146e-9,0.0,0.33450356186950053,0.3408579006237611,0.006354338754260546,0.00029141008210530376,0.0035621915344598537
0.003853267992,0.003853258847202642,0.004073588947313374,0.003632928308589009,8.53279013891285e-9,0.0,0.336292351765808,0.342614102313422,0.00632175054761397,0.000311674548858927,0.0036245084763653177
0.0039144309759999996,0.003914420646875899,0.0041359124384261715,0.003692930261429872,8.404506380709382e-9,0.0,0.3380622517597041,0.34435216136073044,0.006289909601026303,0.00033204896550840623,0.0036871478502213282
0.00397559396,0.003975583842508275,0.004198224374887673,0.0037529447341524795,8.279943227899383e-9,0.0,0.3398138503924608,0.34607253095873375,0.006258680566272934,0.0003525324816461519,0.0037501072409025856
0.004036756944,0.004036746868428008,0.004260524222220749,0.003812970607733459,8.159021299797176e-9,0.0,0.3415475702052312,0.3477756335681545,0.006228063362923306,0.00037312360949529435,0.0038133823053613136
0.004097919928,0.004097911978846935,0.004322817337337128,0.0038730124657962777,8.041867968670707e-9,0.0,0.343263923404384,0.349462033880354,0.006198110475970017,0.0003938226230290775,0.0038769741227803515
0.0041590829119999995,0.004159074546809867,0.004385094439919357,0.003933060806120908,7.927827130776674e-9,0.0,0.3449632116861492,0.35113188432981196,0.006168672643662784,0.00041462581484839054,0.003940871473055455
0.004220245896,0.004220236960772223,0.004447356982335036,0.003993116489150972,7.816639253300022e-9,0.0,0.3466459170248784,0.3527856152166406,0.00613969819176221,0.0004355326568958993,0.004005072928783005
0.00428140888,0.004281400353249168,0.004509612798395087,0.0040531865562239726,7.708824251845335e-9,0.0,0.3483124687969729,0.35442380788959044,0.006111339092617538,0.0004565439454879257,0.004069581182030378
0.004342571864,0.004342561633583117,0.004571858114011709,0.004113266872188097,7.604159013663418e-9,0.0,0.34996316666173977,0.35604672107256896,0.006083554410829173,0.0004776574315440593,0.004134389508870662
0.0044037348479999995,0.004403726819849878,0.004634092248534988,0.004173356302503682,7.501829413278959e-9,0.0,0.3515985414698998,0.35765468363522,0.00605614216532024,0.0004988726348436045,0.004199496562634851
0.004464897832,0.004464888261421895,0.004696319234033707,0.004233458281626103,7.402848266574688e-9,0.0,0.35321874409351045,0.3592481327934359,0.0060293886999255,0.0005201885724195624,0.00426489959519398
0.004526060816,0.004526051611476713,0.004758533858146398,0.004293567332431281,7.306033894416302e-9,0.0,0.35482426753709856,0.360827256722059,0.006002989184960438,0.0005416037441667068,0.004330594087735293
0.0045872238,0.004587215822194347,0.0048207438750279795,0.004353690520639415,7.2120891113579845e-9,0.0,0.3564154135850243,0.36239256184054924,0.005977148255524946,0.0005631188453063747,0.004396582406356474
0.0046483867839999995,0.004648378176891767,0.004882941004688716,0.004413819432658194,7.120392515970846e-9,0.0,0.35799243050275337,0.3639441389022244,0.005951708399471029,0.0005847307217695799,0.00446285499400085
0.004709549768,0.0047095388181909266,0.004945128515867664,0.004473956829158413,7.031116340799296e-9,0.0,0.3595556306345118,0.36548235997804357,0.005926729343531783,0.0006064392203981452,0.004529411561780466
0.004770712752,0.004770702815405502,0.005007308007706878,0.004534103872821998,6.943838012085863e-9,0.0,0.3611054398440476,0.36700754387782264,0.005902104033775058,0.0006282444260378876,0.004596252492867186
0.004831875736,0.004831864659603751,0.005069475861822979,0.004594256691849905,6.858646043560737e-9,0.0,0.36264200488347,0.3685198724514494,0.005877867567979414,0.0006501439595296088,0.004663370656353344
0.0048930387199999995,0.0048930287225957105,0.005131641314934712,0.004654423866441199,6.775843603424876e-9,0.0,0.3641657126790268,0.3700198304854889,0.005854117806462129,0.0006721396560670294,0.004730771855055233
0.004954201704,0.0049541914225837026,0.005193795138523639,0.004714596119303744,6.694872045782027e-9,0.0,0.3656767416400914,0.371507446969595,0.005830705329503606,0.0006942280848694988,0.00479844567080933
0.0050153646879999994,0.005015354188199507,0.005255937167115805,0.004774772952330088,6.615521437608888e-9,0.0,0.3671753865873687,0.37298296426201394,0.0058075776746452186,0.0007164085500685203,0.004866390095280276
0.005076527672,0.005076516548890639,0.0053180785408140415,0.004834964830362339,6.538649878671472e-9,0.0,0.36866188682029577,0.374446882350454,0.005784995530158225,0.0007386828348978147,0.004934610809022664
0.005137690656,0.005137679958289386,0.005380208666603713,0.004895161180163762,6.463204068301167e-9,0.0,0.37013652018547144,0.3758991796476506,0.005762659462179206,0.0007610478204203753,0.00500309829438884
0.00519885364,0.005198842975670395,0.005442331043897632,0.004955365086814506,6.38951157823585e-9,0.0,0.37159948678985516,0.37734016081928856,0.00574067402943342,0.0007835033906006009,0.005071852357852677
0.005260016623999999,0.005260006622696667,0.005504446776441176,0.005015577325627148,6.317504829416564e-9,0.0,0.37305103869599293,0.37877006631939747,0.005719027623404564,0.0008060491839083007,0.005140872013188556
0.005321179608,0.0053211683407293825,0.00556655287498578,0.0050757947129207994,6.247089633413728e-9,0.0,0.3744913361943252,0.3801890362002085,0.005697700005883341,0.0008286834212619256,0.00521015192872062
0.005382342592,0.005382331857115556,0.005628653819837707,0.005136021315834418,6.1782499174162524e-9,0.0,0.3759206810135656,0.3815973750963818,0.0056766940828162004,0.0008514069254613462,0.005279694742316348
0.005443505576,0.0054434934779711295,0.005690743051978474,0.005196250503960575,6.110723566649495e-9,0.0,0.3773391943071268,0.3829951310811357,0.0056559367740089085,0.0008742169284032263,0.005349492073388721
0.005504668559999999,0.005504657929855071,0.0057528287319022434,0.005256489932417735,6.044696186933816e-9,0.0,0.3787471867214755,0.38438267856972863,0.005635491848253136,0.0008971153145353959,0.00541954982174513
0.005565831544,0.005565818306237833,0.005814909093032567,0.005316737635946189,5.980487693638296e-9,0.0,0.38014469490425584,0.38576016174456673,0.005615466840310873,0.0009201001041744937,0.005489862073980262
0.005626994528,0.005626981577830429,0.005876981874061526,0.00537699117471935,5.9173697714425825e-9,0.0,0.3815320680537669,0.38712770981819333,0.005595641764426434,0.000943170952996569,0.005560427811135216
0.005688157512,0.00568814516636813,0.005939047485107389,0.005437250707967144,5.855513010751092e-9,0.0,0.38290943102921843,0.3884855065891042,0.005576075559885776,0.000966326976840648,0.005631244451721025
0.005749320495999999,0.00574930796044454,0.0060011067532405185,0.005497516806942481,5.795004203079494e-9,0.0,0.3842769378035408,0.3898337397547734,0.0055568019512326474,0.0009895675917891314,0.005702310322440193
0.00581048348,0.00581047263626694,0.006063159760322371,0.0055577893261335295,5.735614899312176e-9,0.0,0.38563482178524017,0.39117257581058673,0.005537754025346581,0.0010128925270678625,0.005773624671782018
0.005871646464,0.005871634321359146,0.006125207024911894,0.005618068550601824,5.677669362925465e-9,0.0,0.3869831440266235,0.3925021860302248,0.005519042003601307,0.001036300663919703,0.005845184212214265
0.005932809448,0.005932797942565171,0.0061872478031616595,0.005678353544985596,5.620736548585964e-9,0.0,0.38832217767449617,0.3938227102789171,0.005500532604420927,0.001059791838154421,0.005916988491538826
0.005993972432,0.005993962128011854,0.006249285470583577,0.005738647383061094,5.565088071380709e-9,0.0,0.3896520519136935,0.3951343714820757,0.005482319568382173,0.001083366124672166,0.005989037861604425
0.006055135416,0.006055124484634167,0.006311314235075177,0.005798944234174076,5.510466922594779e-9,0.0,0.3909728704487866,0.3964371947542392,0.005464324305452647,0.0011070211610243164,0.006061325165066752
0.0061162984,0.006116286125335518,0.006373334916938137,0.005859244698310553,5.456817084544126e-9,0.0,0.39228480914783675,0.39773134205745314,0.0054465329096164035,0.001130756710345696,0.006133849761943349
0.006177461384,0.006177449172134458,0.006435354671761077,0.005919555542538674,5.404412209275524e-9,0.0,0.39358806063342217,0.39901710205926477,0.005429041425842604,0.0011545743002626743,0.006206616438312341
0.006238624368,0.006238611642800697,0.00649736639248838,0.005979869670542273,5.352899885158118e-9,0.0,0.39488272587016876,0.40029446317465583,0.0054117373044870925,0.0011784713026157787,0.006279617209261533
0.006299787352,0.006299774580631532,0.006559372759857031,0.006040189508162412,5.3023469342301605e-9,0.0,0.3961689666097863,0.40156361379652195,0.005394647186735649,0.0012024479855186555,0.006352852985169219
0.006360950335999999,0.006360937966870062,0.006621374125644487,0.006100515221518824,5.25274315695817e-9,0.0,0.39744691831150963,0.40282469034840485,0.00537777203689522,0.0012265038957606292,0.006426322461908342
0.006422113320000001,0.006422100168251744,0.006683369026006893,0.006160845214401419,5.204069420729422e-9,0.0,0.3987166795619628,0.40407778926035104,0.00536110969838828,0.0012506379054843292,0.006500022272365426
0.006483276304,0.0064832642716305434,0.006745359962677333,0.006221181753987842,5.156256199044968e-9,0.0,0.39997844351408735,0.40532308398633626,0.005344640472248932,0.0012748505465211878,0.006573954110530637
0.006544439288,0.006544427331902885,0.006807345358747229,0.006281523142462303,5.109358332381567e-9,0.0,0.40123227521333577,0.4065606625481877,0.005328387334851942,0.0012991405033709047,0.006648114042059321
0.006605602271999999,0.006605590129559877,0.006869321306202761,0.00634186541513239,5.063079525827051e-9,0.0,0.40247831375148047,0.4077905647033051,0.00531225095182464,0.0013235063487132296,0.0067224977483558695
0.006666765256,0.006666752763617803,0.006931299719957998,0.006402220018325419,5.018061022489156e-9,0.0,0.40371668104015107,0.4090131404228487,0.0052964593826976365,0.0013479507086736247,0.006797113397992706
0.006727928239999999,0.006727915509150886,0.006993269699751754,0.006462576186828419,4.973643432942855e-9,0.0,0.40494749954924936,0.41022828531367816,0.0052807857644288185,0.001372470279131839,0.006871950895239066
0.0067890912240000005,0.006789079180355193,0.007055235112592318,0.0065229375383491555,4.9299739711841055e-9,0.0,0.40617089953996366,0.4114361844402809,0.005265284900317238,0.0013970656973507742,0.006947012273514585
0.006850254208,0.006850241837273381,0.007117195018758759,0.006583303013093661,4.887086040627819e-9,0.0,0.40738695355977644,0.41263692565559484,0.005249972095818406,0.0014217359756099244,0.007022294591095781
0.006911417192,0.006911404617886356,0.007179150562712018,0.006643673585105884,4.844954083360743e-9,0.0,0.4085957930852717,0.4138306348084493,0.005234841723177587,0.0014464810996915978,0.007097797868786499
0.006972580176,0.006972568752354266,0.00724110238806472,0.006704049744244558,4.803522209769274e-9,0.0,0.40979754830547893,0.4150174252840637,0.005219876978584763,0.0014713009470755357,0.007173521791249997
